#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B21A75
#Date Time: 2023-03-29 12:45:36.929
#Sample rate: 238.139Hz
#Samples: 2369
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Math 1: Function: C1/3.5

Time (s),Channel 1 (V),Math 1 (A)
-15.58334253,-0.0006051791362213319,-0.0001729083246346663
-15.5791433,-0.0006051791362213319,-0.0001729083246346663
-15.57494407,-0.0009432307040044588,-0.0002694944868584168
-15.57074484,-0.0009432307040044588,-0.0002694944868584168
-15.56654561,-0.0006051791362213319,-0.0001729083246346663
-15.56234638,-0.0006051791362213319,-0.0001729083246346663
-15.55814715,-0.0006051791362213319,-0.0001729083246346663
-15.55394792,-0.0006051791362213319,-0.0001729083246346663
-15.54974869,-0.0006051791362213319,-0.0001729083246346663
-15.54554946,-0.0006051791362213319,-0.0001729083246346663
-15.54135023,-0.0006051791362213319,-0.0001729083246346663
-15.537151,-0.0006051791362213319,-0.0001729083246346663
-15.53295177,-0.0006051791362213319,-0.0001729083246346663
-15.52875254,-0.0009432307040044588,-0.0002694944868584168
-15.52455331,-0.0006051791362213319,-0.0001729083246346663
-15.52035408,-0.0006051791362213319,-0.0001729083246346663
-15.51615485,-0.0009432307040044588,-0.0002694944868584168
-15.51195562,-0.0006051791362213319,-0.0001729083246346663
-15.50775639,-0.0009432307040044588,-0.0002694944868584168
-15.50355716,-0.0009432307040044588,-0.0002694944868584168
-15.49935793,-0.0009432307040044588,-0.0002694944868584168
-15.4951587,-0.0006051791362213319,-0.0001729083246346663
-15.49095947,-0.0006051791362213319,-0.0001729083246346663
-15.48676024,-0.0006051791362213319,-0.0001729083246346663
-15.48256101,-0.0006051791362213319,-0.0001729083246346663
-15.47836178,-0.0006051791362213319,-0.0001729083246346663
-15.47416255,-0.0009432307040044588,-0.0002694944868584168
-15.46996332,-0.0006051791362213319,-0.0001729083246346663
-15.46576409,-0.0006051791362213319,-0.0001729083246346663
-15.46156486,-0.0006051791362213319,-0.0001729083246346663
-15.45736563,-0.0006051791362213319,-0.0001729083246346663
-15.4531664,-0.0009432307040044588,-0.0002694944868584168
-15.44896717,-0.0006051791362213319,-0.0001729083246346663
-15.44476794,-0.0006051791362213319,-0.0001729083246346663
-15.44056871,-0.0006051791362213319,-0.0001729083246346663
-15.43636948,-0.0006051791362213319,-0.0001729083246346663
-15.43217025,-0.0006051791362213319,-0.0001729083246346663
-15.42797102,-0.0006051791362213319,-0.0001729083246346663
-15.42377179,-0.0006051791362213319,-0.0001729083246346663
-15.41957256,-0.0006051791362213319,-0.0001729083246346663
-15.41537333,-0.0009432307040044588,-0.0002694944868584168
-15.4111741,-0.0006051791362213319,-0.0001729083246346663
-15.40697487,-0.0006051791362213319,-0.0001729083246346663
-15.40277564,-0.0006051791362213319,-0.0001729083246346663
-15.39857641,-0.0006051791362213319,-0.0001729083246346663
-15.39437718,-0.0006051791362213319,-0.0001729083246346663
-15.39017795,-0.0006051791362213319,-0.0001729083246346663
-15.38597872,-0.0006051791362213319,-0.0001729083246346663
-15.38177949,-0.0006051791362213319,-0.0001729083246346663
-15.37758026,-0.0006051791362213319,-0.0001729083246346663
-15.37338103,-0.0006051791362213319,-0.0001729083246346663
-15.3691818,-0.0006051791362213319,-0.0001729083246346663
-15.36498257,-0.0009432307040044588,-0.0002694944868584168
-15.36078334,-0.0009432307040044588,-0.0002694944868584168
-15.35658411,-0.0009432307040044588,-0.0002694944868584168
-15.35238488,-0.0009432307040044588,-0.0002694944868584168
-15.34818565,-0.0009432307040044588,-0.0002694944868584168
-15.34398642,-0.0006051791362213319,-0.0001729083246346663
-15.33978719,-0.0006051791362213319,-0.0001729083246346663
-15.33558796,-0.0009432307040044588,-0.0002694944868584168
-15.33138873,-0.0009432307040044588,-0.0002694944868584168
-15.3271895,-0.0006051791362213319,-0.0001729083246346663
-15.32299027,-0.0006051791362213319,-0.0001729083246346663
-15.31879104,-0.0006051791362213319,-0.0001729083246346663
-15.31459181,-0.0006051791362213319,-0.0001729083246346663
-15.31039258,-0.0006051791362213319,-0.0001729083246346663
-15.30619335,-0.0006051791362213319,-0.0001729083246346663
-15.30199412,-0.0006051791362213319,-0.0001729083246346663
-15.29779489,-0.0006051791362213319,-0.0001729083246346663
-15.29359566,-0.0006051791362213319,-0.0001729083246346663
-15.28939643,-0.0006051791362213319,-0.0001729083246346663
-15.2851972,-0.0006051791362213319,-0.0001729083246346663
-15.28099797,-0.0006051791362213319,-0.0001729083246346663
-15.27679874,-0.0006051791362213319,-0.0001729083246346663
-15.27259951,-0.0009432307040044588,-0.0002694944868584168
-15.26840028,-0.0009432307040044588,-0.0002694944868584168
-15.26420105,-0.0009432307040044588,-0.0002694944868584168
-15.26000182,-0.0009432307040044588,-0.0002694944868584168
-15.25580259,-0.0009432307040044588,-0.0002694944868584168
-15.25160336,-0.0009432307040044588,-0.0002694944868584168
-15.24740413,-0.0009432307040044588,-0.0002694944868584168
-15.2432049,-0.0009432307040044588,-0.0002694944868584168
-15.23900567,-0.0009432307040044588,-0.0002694944868584168
-15.23480644,-0.0009432307040044588,-0.0002694944868584168
-15.23060721,-0.0006051791362213319,-0.0001729083246346663
-15.22640798,-0.0006051791362213319,-0.0001729083246346663
-15.22220875,-0.0009432307040044588,-0.0002694944868584168
-15.21800952,-0.0009432307040044588,-0.0002694944868584168
-15.21381029,-0.0009432307040044588,-0.0002694944868584168
-15.20961106,-0.0009432307040044588,-0.0002694944868584168
-15.20541183,-0.0006051791362213319,-0.0001729083246346663
-15.2012126,-0.0006051791362213319,-0.0001729083246346663
-15.19701337,-0.0006051791362213319,-0.0001729083246346663
-15.19281414,-0.0006051791362213319,-0.0001729083246346663
-15.18861491,-0.0006051791362213319,-0.0001729083246346663
-15.18441568,-0.0006051791362213319,-0.0001729083246346663
-15.18021645,-0.0006051791362213319,-0.0001729083246346663
-15.17601722,-0.0006051791362213319,-0.0001729083246346663
-15.17181799,-0.0009432307040044588,-0.0002694944868584168
-15.16761876,-0.0006051791362213319,-0.0001729083246346663
-15.16341953,-0.0006051791362213319,-0.0001729083246346663
-15.1592203,-0.0006051791362213319,-0.0001729083246346663
-15.15502107,-0.0006051791362213319,-0.0001729083246346663
-15.15082184,-0.0006051791362213319,-0.0001729083246346663
-15.14662261,-0.0006051791362213319,-0.0001729083246346663
-15.14242338,-0.0006051791362213319,-0.0001729083246346663
-15.13822415,-0.0006051791362213319,-0.0001729083246346663
-15.13402492,-0.0009432307040044588,-0.0002694944868584168
-15.12982569,-0.0009432307040044588,-0.0002694944868584168
-15.12562646,-0.0006051791362213319,-0.0001729083246346663
-15.12142723,-0.0006051791362213319,-0.0001729083246346663
-15.117228,-0.0006051791362213319,-0.0001729083246346663
-15.11302877,-0.0006051791362213319,-0.0001729083246346663
-15.10882954,-0.0009432307040044588,-0.0002694944868584168
-15.10463031,-0.0006051791362213319,-0.0001729083246346663
-15.10043108,-0.0006051791362213319,-0.0001729083246346663
-15.09623185,-0.0009432307040044588,-0.0002694944868584168
-15.09203262,-0.0006051791362213319,-0.0001729083246346663
-15.08783339,-0.0006051791362213319,-0.0001729083246346663
-15.08363416,-0.0006051791362213319,-0.0001729083246346663
-15.07943493,-0.0006051791362213319,-0.0001729083246346663
-15.0752357,-0.0006051791362213319,-0.0001729083246346663
-15.07103647,-0.0009432307040044588,-0.0002694944868584168
-15.06683724,-0.0006051791362213319,-0.0001729083246346663
-15.06263801,-0.0006051791362213319,-0.0001729083246346663
-15.05843878,-0.0006051791362213319,-0.0001729083246346663
-15.05423955,-0.0009432307040044588,-0.0002694944868584168
-15.05004032,-0.0009432307040044588,-0.0002694944868584168
-15.04584109,-0.0006051791362213319,-0.0001729083246346663
-15.04164186,-0.0006051791362213319,-0.0001729083246346663
-15.03744263,-0.0009432307040044588,-0.0002694944868584168
-15.0332434,-0.0009432307040044588,-0.0002694944868584168
-15.02904417,-0.0009432307040044588,-0.0002694944868584168
-15.02484494,-0.0009432307040044588,-0.0002694944868584168
-15.02064571,-0.0009432307040044588,-0.0002694944868584168
-15.01644648,-0.0009432307040044588,-0.0002694944868584168
-15.01224725,-0.0009432307040044588,-0.0002694944868584168
-15.00804802,-0.0009432307040044588,-0.0002694944868584168
-15.00384879,-0.0006051791362213319,-0.0001729083246346663
